Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,,
St Vincent de Paul Society NSW,"St Francis Xavier ER Conference, Narrabri ARM",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,102 Barwan Street Narrabri NSW 2390,Narrabri,2390,Financial Crisis and Material Aid - Emergency Relief,Narrabri,Moree - Narrabri,New England and North West,Narrabri (A),Parkes,-30.3231131,149.7839212,N,,
St Vincent de Paul Society NSW,"Mary Mackillop Murwillumbah, LIS",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,"Shop 4, 132 Murwillumbah Street Murwillumbah NSW 2484 ",Murwillumbah,2484,Financial Crisis and Material Aid - Emergency Relief,Murwillumbah,Tweed Valley,Richmond - Tweed,Tweed (A),Richmond,-28.3266703,153.3953613,N,,
St Vincent de Paul Society NSW,"St Anthony, Kingscliff LIS",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,5/29 Coast Road BOGANGAR NSW 2488,BOGANGAR,2488,Financial Crisis and Material Aid - Emergency Relief,Pottsville,Tweed Valley,Richmond - Tweed,Tweed (A),Richmond,-28.330944,153.5598257,N,,
St Vincent de Paul Society NSW,Ulladulla Conference WOL,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,251 Green Street ULLADULLA NSW 2539,ULLADULLA,2539,Financial Crisis and Material Aid - Emergency Relief,Ulladulla,Shoalhaven,Southern Highlands and Shoalhaven,Shoalhaven (C),Gilmore,-35.3561034,150.4707409,N,,
St Vincent de Paul Society NSW,Vincentia Conference WOL,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,199 Kerry Street SANCTUARY POINT NSW 2541,SANCTUARY POINT,2541,Financial Crisis and Material Aid - Emergency Relief,St Georges Basin - Erowal Bay,Shoalhaven,Southern Highlands and Shoalhaven,Shoalhaven (C),Gilmore,-35.1060507,150.6242209,N,,
St Vincent de Paul Society NSW,Nowra Conference WOL,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,5 Berry Street NOWRA NSW 2541,NOWRA,2541,Financial Crisis and Material Aid - Emergency Relief,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,Shoalhaven (C),Gilmore,-34.8728107,150.6003273,N,,
St Vincent de Paul Society NSW,"St Clare's Conference, North Albury",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,1091 Mate Street NORTH ALBURY NSW 2640,NORTH ALBURY,2640,Financial Crisis and Material Aid - Emergency Relief,Albury - North,Albury,Murray,Albury (C),Farrer,-36.0535099,146.9329605,N,,
St Vincent de Paul Society NSW,Holy Trinity Conference WAG,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,1/207 Edward Street WAGGA WAGGA NSW 2650,WAGGA WAGGA,2650,Financial Crisis and Material Aid - Emergency Relief,Wagga Wagga - West,Wagga Wagga,Riverina,Wagga Wagga (C),Riverina,-35.1176089,147.361898,N,,
St Vincent de Paul Society NSW,"St Michael's Conference, Deniliquin WCF",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,64-66 Napier Street DENILIQUIN NSW 2710,DENILIQUIN,2710,Financial Crisis and Material Aid - Emergency Relief,Deniliquin,Upper Murray exc. Albury,Murray,Deniliquin (A),Farrer,-35.5306087,144.9605029,N,,
St Vincent de Paul Society NSW,Katoomba Conference PAR,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,74 Waratah Street KATOOMBA NSW 2780,KATOOMBA,2780,Financial Crisis and Material Aid - Emergency Relief,Katoomba - Leura,Blue Mountains,Sydney - Outer West and Blue Mountains,Blue Mountains (C),Macquarie,-33.7173016,150.3135576,N,,
St Vincent de Paul Society NSW,"St Therese Conference, Bathurst BAT",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,66 Keppel Street Bathurst NSW 2795,Bathurst,2795,Financial Crisis and Material Aid - Emergency Relief,Bathurst,Bathurst,Central West,Bathurst Regional (A),Calare,-33.4229089,149.5799636,N,,
St Vincent de Paul Society NSW,"St James Conference, Blayney BAT",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,80 Adelaide Street BLAYNEY NSW 2799,BLAYNEY,2799,Financial Crisis and Material Aid - Emergency Relief,Blayney,Orange,Central West,Blayney (A),Calare,-33.5317525,149.2557766,N,,
St Vincent de Paul Society NSW,"St Joseph Conference, Orange BAT",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,31 McNamara Street Orange NSW 2800,Orange,2800,Financial Crisis and Material Aid - Emergency Relief,Orange,Orange,Central West,Orange (C),Calare,-33.2853216,149.1018409,N,,
St Vincent de Paul Society NSW,"St Edward's Conference, Canowindra BAT",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,37 Gaskill Street Canowindra NSW 2804,Canowindra,2804,Financial Crisis and Material Aid - Emergency Relief,Cowra Region,Lachlan Valley,Central West,Cabonne (A),Calare,-33.5660938,148.6605598,N,,
St Vincent de Paul Society NSW,"St Joseph's Conference, Nyngan WCF",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,84 Pangee Street NYNGAN NSW 2825,NYNGAN,2825,Financial Crisis and Material Aid - Emergency Relief,Nyngan - Warren,Bourke - Cobar - Coonamble,Far West and Orana,Bogan (A),Parkes,-31.5629086,147.1963998,N,,
St Vincent de Paul Society NSW,"St Brigid Conference, Dubbo BAT",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,126 Brisbane Street DUBBO NSW 2830,DUBBO,2830,Financial Crisis and Material Aid - Emergency Relief,Dubbo - South,Dubbo,Far West and Orana,Dubbo (C),Parkes,-32.245873,148.6045188,N,,
St Vincent de Paul Society NSW,"Holy Family Conference, Parkes WCF",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,44-46 Welcome Street Parkes NSW 2870,Parkes,2870,Financial Crisis and Material Aid - Emergency Relief,Parkes (NSW),Lachlan Valley,Central West,Parkes (A),Calare,-33.1380625,148.1739095,N,,
St Vincent de Paul Society NSW,"Sacred Heart Conference, Forbes WCF",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,129 Rankin Street FORBES NSW 2871,FORBES,2871,Financial Crisis and Material Aid - Emergency Relief,Forbes,Lachlan Valley,Central West,Forbes (A),Calare,-33.3839562,148.0065521,N,,
St Vincent de Paul Society NSW,"Sacred Heart Conference, Broken Hill WCF",<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,97-99 Argent Street BROKEN HILL NSW 2880,BROKEN HILL,2880,Financial Crisis and Material Aid - Emergency Relief,Broken Hill,Broken Hill and Far West,Far West and Orana,Broken Hill (C),Farrer,-31.9618094,141.4605418,N,,
St. Vincent de Paul Society Queensland,Nundah - Real Presence Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Station St NUNDAH QLD 4012,NUNDAH,4012,Financial Crisis and Material Aid - Emergency Relief,Nundah,Nundah,Brisbane - North,Brisbane (C),Lilley,-27.4014117,153.0608655,N,,
St. Vincent de Paul Society Queensland,Wavell Heights - St Paschal's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Warraba Ave WAVELL HEIGHTS QLD 4012,WAVELL HEIGHTS,4012,Financial Crisis and Material Aid - Emergency Relief,Wavell Heights,Chermside,Brisbane - North,Brisbane (C),Lilley,-27.3937605,153.0407598,N,,
St. Vincent de Paul Society Queensland,Banyo - Holy Trinity Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Saint Vincents Rd BANYO QLD 4014,BANYO,4014,Financial Crisis and Material Aid - Emergency Relief,Nudgee - Banyo,Nundah,Brisbane - North,Brisbane (C),Lilley,-27.375814,153.076492,N,,
St. Vincent de Paul Society Queensland,Sandgate - Sacred Heart Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,4-8 Fourth Ave SANDGATE QLD 4017,SANDGATE,4017,Financial Crisis and Material Aid - Emergency Relief,Sandgate - Shorncliffe,Sandgate,Brisbane - North,Brisbane (C),Lilley,-27.3185112,153.0686107,N,,
St. Vincent de Paul Society Queensland,Bald Hills - St Anthony's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Eldorado St BRACKEN RIDGE QLD 4017,BRACKEN RIDGE,4017,Financial Crisis and Material Aid - Emergency Relief,Bracken Ridge,Sandgate,Brisbane - North,Brisbane (C),Petrie,-27.3239244,153.034531,N,,
St. Vincent de Paul Society Queensland,Brighton - St Lawrence's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Greenwood St BRIGHTON QLD 4017,BRIGHTON,4017,Financial Crisis and Material Aid - Emergency Relief,Brighton (Qld),Sandgate,Brisbane - North,Brisbane (C),Lilley,-27.2898101,153.0549826,N,,
St. Vincent de Paul Society Queensland,Woody Point -Our Lady of the Miraculous Medal Conf,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Ellen St WOODY POINT QLD 4019,WOODY POINT,4019,Financial Crisis and Material Aid - Emergency Relief,Margate - Woody Point,Redcliffe,Moreton Bay - North,Moreton Bay (R),Petrie,-27.2551484,153.1056921,N,,
St. Vincent de Paul Society Queensland,Margate - Our Mother of Perpetual Help Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,"Ozanam Villa Hostel Lot 1, 48 Tainton St CLONTARF QLD 4019 ",CLONTARF,4019,Financial Crisis and Material Aid - Emergency Relief,Clontarf,Redcliffe,Moreton Bay - North,Moreton Bay (R),Petrie,-27.2498184,153.0944752,N,,
St. Vincent de Paul Society Queensland,Redcliffe - Our Lady Help of Christians Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Irene St REDCLIFFE QLD 4020,REDCLIFFE,4020,Financial Crisis and Material Aid - Emergency Relief,Redcliffe,Redcliffe,Moreton Bay - North,Moreton Bay (R),Petrie,-27.2247813,153.1121299,N,,
St. Vincent de Paul Society Queensland,Kedron - Little Flower Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Turner Rd KEDRON QLD 4031,KEDRON,4031,Financial Crisis and Material Aid - Emergency Relief,Kedron - Gordon Park,Chermside,Brisbane - North,Brisbane (C),Lilley,-27.4053687,153.0256367,N,,
St. Vincent de Paul Society Queensland,Chermside West - St Gerard Majella Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Maundrell Tce CHERMSIDE WEST QLD 4032,CHERMSIDE WEST,4032,Financial Crisis and Material Aid - Emergency Relief,Chermside West,Chermside,Brisbane - North,Brisbane (C),Lilley,-27.383611,153.0127254,N,,
St. Vincent de Paul Society Queensland,Zillmere - St Flannan's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Handford Rd ZILLMERE QLD 4034,ZILLMERE,4034,Financial Crisis and Material Aid - Emergency Relief,Zillmere,Sandgate,Brisbane - North,Brisbane (C),Lilley,-27.3553913,153.0389517,N,,
St. Vincent de Paul Society Queensland,Geebung - St Kevin's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Newman Rd GEEBUNG QLD 4034,GEEBUNG,4034,Financial Crisis and Material Aid - Emergency Relief,Geebung,Chermside,Brisbane - North,Brisbane (C),Lilley,-27.370518,153.0476316,N,,
St. Vincent de Paul Society Queensland,Aspley - Our Lady and St Dymphna's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Robinson Rd W ASPLEY QLD 4034,ASPLEY,4034,Financial Crisis and Material Aid - Emergency Relief,Aspley,Chermside,Brisbane - North,Brisbane (C),Lilley,-27.3653447,153.0270009,N,,
St. Vincent de Paul Society Queensland,Albany Creek - All Saints Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Faheys Rd E ALBANY CREEK QLD 4035,ALBANY CREEK,4035,Financial Crisis and Material Aid - Emergency Relief,Albany Creek,Hills District,Moreton Bay - South,Moreton Bay (R),Dickson,-27.3502589,152.9694938,N,,
St. Vincent de Paul Society Queensland,Stafford - Our Lady Queen of Apostles Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Appleby Rd STAFFORD QLD 4053,STAFFORD,4053,Financial Crisis and Material Aid - Emergency Relief,Stafford,Chermside,Brisbane - North,Brisbane (C),Lilley,-27.4058726,153.0085877,N,,
St. Vincent de Paul Society Queensland,Ashgrove - St Finbarr's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Land St TOOWONG QLD 4066,TOOWONG,4066,Financial Crisis and Material Aid - Emergency Relief,Toowong,Brisbane Inner - West,Brisbane Inner City,Brisbane (C),Ryan,-27.4807769,152.9960668,N,,
St. Vincent de Paul Society Queensland,Darra - Our Lady of the Sacred Heart Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Darra Station Rd DARRA QLD 4076,DARRA,4076,Financial Crisis and Material Aid - Emergency Relief,Darra - Sumner,Forest Lake - Oxley,Ipswich,Brisbane (C),Oxley,-27.5701845,152.9526013,N,,
St. Vincent de Paul Society Queensland,Inala - St Mark's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Inala Ave INALA QLD 4077,INALA,4077,Financial Crisis and Material Aid - Emergency Relief,Durack,Forest Lake - Oxley,Ipswich,Brisbane (C),Oxley,-27.5978687,152.9794176,N,,
St. Vincent de Paul Society Queensland,Annerley - Mary Immaculate Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Ferndale St ANNERLEY QLD 4103,ANNERLEY,4103,Financial Crisis and Material Aid - Emergency Relief,Annerley,Holland Park - Yeronga,Brisbane - South,Brisbane (C),Griffith,-27.5176093,153.0336005,N,,
St. Vincent de Paul Society Queensland,Moorooka - St Brendan's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Hawtree St MOOROOKA QLD 4105,MOOROOKA,4105,Financial Crisis and Material Aid - Emergency Relief,Moorooka,Nathan,Brisbane - South,Brisbane (C),Moreton,-27.537833,153.0193435,N,,
St. Vincent de Paul Society Queensland,Salisbury - St Pius X Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Golda Ave SALISBURY QLD 4107,SALISBURY,4107,Financial Crisis and Material Aid - Emergency Relief,Salisbury - Nathan,Nathan,Brisbane - South,Brisbane (C),Moreton,-27.5573368,153.0368557,N,,
St. Vincent de Paul Society Queensland,Sunnybank - Our Lady of Lourdes Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Mains Rd SUNNYBANK QLD 4109,SUNNYBANK,4109,Financial Crisis and Material Aid - Emergency Relief,Sunnybank,Sunnybank,Brisbane - South,Brisbane (C),Moreton,-27.5784453,153.0629006,N,,
St. Vincent de Paul Society Queensland,Acacia Ridge - Our Lady of Fatima Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Mortimer Rd ACACIA RIDGE QLD 4110,ACACIA RIDGE,4110,Financial Crisis and Material Aid - Emergency Relief,Rocklea - Acacia Ridge,Rocklea - Acacia Ridge,Brisbane - South,Brisbane (C),Moreton,-27.5787932,153.018887,N,,
St. Vincent de Paul Society Queensland,Woodridge - St Paul's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Saint Pauls Dr WOODRIDGE QLD 4114,WOODRIDGE,4114,Financial Crisis and Material Aid - Emergency Relief,Woodridge,Springwood - Kingston,Logan - Beaudesert,Logan (C),Rankin,-27.6358625,153.1106245,N,,
St. Vincent de Paul Society Queensland,Browns Plains - St Bernadine's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Vergulde Rd REGENTS PARK QLD 4118,REGENTS PARK,4118,Financial Crisis and Material Aid - Emergency Relief,Regents Park - Heritage Park,Browns Plains,Logan - Beaudesert,Logan (C),Rankin,-27.6702524,153.0386416,N,,
St. Vincent de Paul Society Queensland,Holland Park - St Joachim & St Agnes Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Yuletide St HOLLAND PARK WEST QLD 4121,HOLLAND PARK WEST,4121,Financial Crisis and Material Aid - Emergency Relief,Holland Park West,Holland Park - Yeronga,Brisbane - South,Brisbane (C),Griffith,-27.5200805,153.0600365,N,,
St. Vincent de Paul Society Queensland,Mt Gravatt - St Bernard's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Klumpp Rd UPPER MOUNT GRAVATT QLD 4122,UPPER MOUNT GRAVATT,4122,Financial Crisis and Material Aid - Emergency Relief,Upper Mount Gravatt,Mt Gravatt,Brisbane - South,Brisbane (C),Bonner,-27.5519172,153.0727018,N,,
St. Vincent de Paul Society Queensland,Wishart - St Catherine's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Newnham Rd WISHART QLD 4122,WISHART,4122,Financial Crisis and Material Aid - Emergency Relief,Wishart,Mt Gravatt,Brisbane - South,Brisbane (C),Bonner,-27.5571456,153.0898737,N,,
St. Vincent de Paul Society Queensland,Rochedale - St Peter's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Rochedale Rd ROCHEDALE QLD 4123,ROCHEDALE,4123,Financial Crisis and Material Aid - Emergency Relief,Rochedale - Burbank,Mt Gravatt,Brisbane - South,Brisbane (C),Bonner,-27.5743549,153.1263465,N,,
St. Vincent de Paul Society Queensland,Daisy Hill - St Edward's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Chatswood Rd DAISY HILL QLD 4127,DAISY HILL,4127,Financial Crisis and Material Aid - Emergency Relief,Daisy Hill,Springwood - Kingston,Logan - Beaudesert,Logan (C),Rankin,-27.6359439,153.1536788,N,,
St. Vincent de Paul Society Queensland,Loganholme - St Matthew's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Bryants Rd CORNUBIA QLD 4130,CORNUBIA,4130,Financial Crisis and Material Aid - Emergency Relief,Cornubia - Carbrook,Loganlea - Carbrook,Logan - Beaudesert,Logan (C),Forde,-27.6687023,153.1911523,N,,
St. Vincent de Paul Society Queensland,Kingston/Marsden - St Maximillian Kolbe Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Macarthy Rd MARSDEN QLD 4132,MARSDEN,4132,Financial Crisis and Material Aid - Emergency Relief,Marsden,Browns Plains,Logan - Beaudesert,Logan (C),Rankin,-27.6739441,153.087887,N,,
St. Vincent de Paul Society Queensland,Coorparoo - Our Lady of Mount Carmel Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Cavendish Rd COORPAROO QLD 4151,COORPAROO,4151,Financial Crisis and Material Aid - Emergency Relief,Coorparoo,Holland Park - Yeronga,Brisbane - South,Brisbane (C),Griffith,-27.5005262,153.062127,N,,
St. Vincent de Paul Society Queensland,Coorparoo - St James Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Old Cleveland Rd COORPAROO QLD 4151,COORPAROO,4151,Financial Crisis and Material Aid - Emergency Relief,Coorparoo,Holland Park - Yeronga,Brisbane - South,Brisbane (C),Griffith,-27.4951893,153.058069,N,,
St. Vincent de Paul Society Queensland,Carina - Our Lady of Grace Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Mayfield Road CARINA QLD 4152,CARINA,4152,Financial Crisis and Material Aid - Emergency Relief,Carina,Carindale,Brisbane - South,Brisbane (C),Griffith,-27.4920301,153.090037,N,,
St. Vincent de Paul Society Queensland,Camp Hill - St Thomas Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Perth St CAMP HILL QLD 4152,CAMP HILL,4152,Financial Crisis and Material Aid - Emergency Relief,Camp Hill,Carindale,Brisbane - South,Brisbane (C),Griffith,-27.4868805,153.075157,N,,
St. Vincent de Paul Society Queensland,Birkdale - St Mary of the Cross Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Hardy Rd BIRKDALE QLD 4159,BIRKDALE,4159,Financial Crisis and Material Aid - Emergency Relief,Birkdale,Capalaba,Brisbane - East,Redland (C),Bowman,-27.4964381,153.2291568,N,,
St. Vincent de Paul Society Queensland,Alexandra Hills - St Anthony's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Saint Anthony Dr ALEXANDRA HILLS QLD 4161,ALEXANDRA HILLS,4161,Financial Crisis and Material Aid - Emergency Relief,Alexandra Hills,Capalaba,Brisbane - East,Redland (C),Bowman,-27.5210596,153.2167426,N,,
St. Vincent de Paul Society Queensland,Cleveland - Our Lady Star of the Sea Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Passage St CLEVELAND QLD 4163,CLEVELAND,4163,Financial Crisis and Material Aid - Emergency Relief,Cleveland,Cleveland - Stradbroke,Brisbane - East,Redland (C),Bowman,-27.5317363,153.2788369,N,,
St. Vincent de Paul Society Queensland,Victoria Point - St Rita's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Benfer Road VICTORIA POINT QLD 4165,VICTORIA POINT,4165,Financial Crisis and Material Aid - Emergency Relief,Victoria Point,Cleveland - Stradbroke,Brisbane - East,Redland (C),Bowman,-27.5935484,153.2917911,N,,
St. Vincent de Paul Society Queensland,Cannon Hill - St Oliver Plunkett Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Beauvardia St CANNON HILL QLD 4170,CANNON HILL,4170,Financial Crisis and Material Aid - Emergency Relief,Cannon Hill,Carindale,Brisbane - South,Brisbane (C),Griffith,-27.4698603,153.0860058,N,,
St. Vincent de Paul Society Queensland,Wynnum - Guardian Angels Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Bay Tce WYNNUM QLD 4178,WYNNUM,4178,Financial Crisis and Material Aid - Emergency Relief,Wynnum,Wynnum - Manly,Brisbane - East,Brisbane (C),Bonner,-27.4444647,153.1743887,N,,
St. Vincent de Paul Society Queensland,Manly - St John Vianney Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Ernest St MANLY QLD 4179,MANLY,4179,Financial Crisis and Material Aid - Emergency Relief,Manly - Lota,Wynnum - Manly,Brisbane - East,Brisbane (C),Bonner,-27.4580022,153.1826409,N,,
St. Vincent de Paul Society Queensland,Beenleigh - St Patrick's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Tobruk St BEENLEIGH QLD 4207,BEENLEIGH,4207,Financial Crisis and Material Aid - Emergency Relief,Beenleigh,Beenleigh,Logan - Beaudesert,Logan (C),Forde,-27.7118343,153.2012998,N,,
St. Vincent de Paul Society Queensland,Upper Coomera - St Mary's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Billinghurst Crescent UPPER COOMERA QLD 4209,UPPER COOMERA,4209,Financial Crisis and Material Aid - Emergency Relief,Upper Coomera - Willow Vale,Ormeau - Oxenford,Gold Coast,Gold Coast (C),Forde,-27.8628349,153.2976533,N,,
St. Vincent de Paul Society Queensland,Nerang - St Brigid's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,McLaren Rd NERANG QLD 4211,NERANG,4211,Financial Crisis and Material Aid - Emergency Relief,Nerang - Mount Nathan,Nerang,Gold Coast,Gold Coast (C),Moncrieff,-27.9998234,153.3124242,N,,
St. Vincent de Paul Society Queensland,Mudgeeraba - Saint Benedict's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Wallaby Dr MUDGEERABA QLD 4213,MUDGEERABA,4213,Financial Crisis and Material Aid - Emergency Relief,Mudgeeraba - Bonogin,Mudgeeraba - Tallebudgera,Gold Coast,Gold Coast (C),Wright,-28.0999471,153.3488715,N,,
St. Vincent de Paul Society Queensland,Ashmore - Mary Immaculate Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Edmund Rice Dr ASHMORE QLD 4214,ASHMORE,4214,Financial Crisis and Material Aid - Emergency Relief,Southport,Southport,Gold Coast,Gold Coast (C),Moncrieff,-27.9764014,153.3842832,N,,
St. Vincent de Paul Society Queensland,Southport - Guardian Angels Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Scarborough St SOUTHPORT QLD 4215,SOUTHPORT,4215,Financial Crisis and Material Aid - Emergency Relief,Southport,Southport,Gold Coast,Gold Coast (C),Moncrieff,-27.9657851,153.4129878,N,,
St. Vincent de Paul Society Queensland,Runaway Bay - Holy Family Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Simbai St RUNAWAY BAY QLD 4216,RUNAWAY BAY,4216,Financial Crisis and Material Aid - Emergency Relief,Runaway Bay,Gold Coast - North,Gold Coast,Gold Coast (C),Fadden,-27.9087517,153.3998557,N,,
St. Vincent de Paul Society Queensland,Surfers Paradise - St Vincent's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Hamilton Ave SURFERS PARADISE QLD 4217,SURFERS PARADISE,4217,Financial Crisis and Material Aid - Emergency Relief,Surfers Paradise,Surfers Paradise,Gold Coast,Gold Coast (C),Moncrieff,-28.0068197,153.429683,N,,
St. Vincent de Paul Society Queensland,Burleigh Heads - Ozanam Villa Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,"Ozcare Ozanam Villa Hostel Burleigh Lot 5, 20 Matilda St BURLEIGH HEADS QLD 4220 ",BURLEIGH HEADS,4220,Financial Crisis and Material Aid - Emergency Relief,Burleigh Heads,Broadbeach - Burleigh,Gold Coast,Gold Coast (C),McPherson,-28.0994934,153.4455487,N,,
St. Vincent de Paul Society Queensland,Burleigh Heads - Infant Saviour Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Park Ave BURLEIGH HEADS QLD 4220,BURLEIGH HEADS,4220,Financial Crisis and Material Aid - Emergency Relief,Burleigh Heads,Broadbeach - Burleigh,Gold Coast,Gold Coast (C),McPherson,-28.0902123,153.4512127,N,,
St. Vincent de Paul Society Queensland,Coolangatta - St Augustine's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Tweed St COOLANGATTA QLD 4225,COOLANGATTA,4225,Financial Crisis and Material Aid - Emergency Relief,Coolangatta,Coolangatta,Gold Coast,Gold Coast (C),McPherson,-28.1708154,153.5335831,N,,
St. Vincent de Paul Society Queensland,Mt Tamborine - St John the Baptist Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Beacon Rd TAMBORINE MOUNTAIN QLD 4272,TAMBORINE MOUNTAIN,4272,Financial Crisis and Material Aid - Emergency Relief,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Scenic Rim (R),Wright,-27.9259547,153.1718197,N,,
St. Vincent de Paul Society Queensland,Jimboomba - St Catherine's Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,East St JIMBOOMBA QLD 4280,JIMBOOMBA,4280,Financial Crisis and Material Aid - Emergency Relief,Jimboomba,Jimboomba,Logan - Beaudesert,Logan (C),Wright,-27.8348627,153.0390963,N,,
St. Vincent de Paul Society Queensland,Beaudesert - Sacred Heart Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Christmas Creek Rd HILLVIEW QLD 4285,HILLVIEW,4285,Financial Crisis and Material Aid - Emergency Relief,Beaudesert,Beaudesert,Logan - Beaudesert,Scenic Rim (R),Wright,-28.2210955,153.0071329,N,,
St. Vincent de Paul Society Queensland,Goodna - St Francis Xavier Conference,<a href='http://www.vinnies.org.au'>http://www.vinnies.org.au</a>,Church St GOODNA QLD 4300,GOODNA,4300,Financial Crisis and Material Aid - Emergency Relief,Goodna,Springfield - Redbank,Ipswich,Ipswich (C),Oxley,-27.6154011,152.8979883,N,,
