Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,,
"Anglicare NSW South, NSW West & ACT",Rylstone/Kandos,<a href='http://www.anglicare.com.au'>http://www.anglicare.com.au</a>,45 Mudgee Street RYLSTONE NSW 2849,RYLSTONE,2849,Financial Crisis and Material Aid - Emergency Relief,Mudgee Region - East,Lithgow - Mudgee,Central West,Mid-Western Regional (A),Hunter,-32.7980497,149.9720901,N,,
Anglicare SA Inc,Magdalene Centre,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,35A Whitmore Square Adelaide SA 5000,Adelaide,5000,Financial Crisis and Material Aid - Emergency Relief,Adelaide,Adelaide City,Adelaide - Central and Hills,Adelaide (C),Adelaide,-34.9329956,138.5931409,N,,
Anglicare SA Inc,The Picket Fence,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,1167 South Road ST MARYS SA 5042,ST MARYS,5042,Financial Crisis and Material Aid - Emergency Relief,Panorama,Mitcham,Adelaide - South,Mitcham (C),Boothby,-34.9968969,138.5757166,N,,
Anglicare SA Inc,Salisbury Old Rectory,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,9 Mary Street Salisbury SA 5108,Salisbury,5108,Financial Crisis and Material Aid - Emergency Relief,Salisbury,Salisbury,Adelaide - North,Salisbury (C),Wakefield,-34.763816,138.6465034,N,,
Anglicare SA Inc,Elizabeth Mission,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,91 Elizabeth Way ELIZABETH SA 5112,ELIZABETH,5112,Financial Crisis and Material Aid - Emergency Relief,Elizabeth,Playford,Adelaide - North,Playford (C),Wakefield,-34.715736,138.6685369,N,,
Anglicare SA Inc,St Hillary's,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,1 William Street Morphett Vale SA 5162,Morphett Vale,5162,Financial Crisis and Material Aid - Emergency Relief,Morphett Vale - East,Onkaparinga,Adelaide - South,Onkaparinga (C),Kingston,-35.1224658,138.5244773,N,,
Anglicare SA Inc,ac.care - Murray Bridge,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,11-22 Kennett Road MURRAY BRIDGE SA 5253,MURRAY BRIDGE,5253,Financial Crisis and Material Aid - Emergency Relief,Murray Bridge,Murray and Mallee,South Australia - South East,Murray Bridge (RC),Barker,-35.1154546,139.2917197,N,,
Anglicare SA Inc,ac.care - Millicent Community Centre,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,57-59 George Street MILLICENT SA 5280,MILLICENT,5280,Financial Crisis and Material Aid - Emergency Relief,Millicent,Limestone Coast,South Australia - South East,Wattle Range (DC),Barker,-37.5952193,140.3546557,N,,
Anglicare SA Inc,ac.care - Mount Gambier Community Centre,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,22 Ferrers Street Mount Gambier SA 5290,Mount Gambier,5290,Financial Crisis and Material Aid - Emergency Relief,Mount Gambier,Limestone Coast,South Australia - South East,Mount Gambier (C),Barker,-37.8317939,140.781001,N,,
Anglicare SA Inc,ac.care - Waikerie Community Centre,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,1 Crush Terrace Waikerie SA 5330,Waikerie,5330,Financial Crisis and Material Aid - Emergency Relief,Waikerie,Murray and Mallee,South Australia - South East,Loxton Waikerie (DC),Barker,-34.1806059,139.9866496,N,,
Anglicare SA Inc,ac.care - Berri,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,7 Wilson Street Berri SA 5343,Berri,5343,Financial Crisis and Material Aid - Emergency Relief,Berri,Murray and Mallee,South Australia - South East,Berri and Barmera (DC),Barker,-34.2858115,140.599815,N,,
Anglicare SA Inc,Chatt Centre,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,3 Robert St Maitland SA 5573,Maitland,5573,Financial Crisis and Material Aid - Emergency Relief,Yorke Peninsula - North,Yorke Peninsula,Barossa - Yorke - Mid North,Yorke Peninsula (DC),Grey,-34.376398,137.672256,N,,
Anglicare SA Inc,Willochra,<a href='http://www.anglicare-sa.org.au/'>http://www.anglicare-sa.org.au/</a>,34-36 Galpin Street Whyalla Stuart SA 5608,Whyalla Stuart,5608,Financial Crisis and Material Aid - Emergency Relief,Whyalla,Eyre Peninsula and South West,South Australia - Outback,Whyalla (C),Grey,-33.0227455,137.5236074,N,,
Anglicare Victoria,Williamstown ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,179 Melbourne Road Williamstown VIC 3016,Williamstown,3016,Financial Crisis and Material Aid - Emergency Relief,Williamstown,Hobsons Bay,Melbourne - West,Hobsons Bay (C),Gellibrand,-37.8524919,144.8895808,N,,
Anglicare Victoria,Sunshine ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,49 Sun Crescent Sunshine VIC 3020,Sunshine,3020,Financial Crisis and Material Aid - Emergency Relief,Sunshine,Brimbank,Melbourne - West,Brimbank (C),Gellibrand,-37.7862775,144.8278212,N,,
Anglicare Victoria,St Albans ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,46 East Esplanade St Albans VIC 3021,St Albans,3021,Financial Crisis and Material Aid - Emergency Relief,St Albans - North,Brimbank,Melbourne - West,Brimbank (C),Maribyrnong,-37.7392223,144.7974665,N,,
Anglicare Victoria,Sydenham ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,43 Bellbird Avenue SYDENHAM VIC 3037,SYDENHAM,3037,Financial Crisis and Material Aid - Emergency Relief,Taylors Lakes,Brimbank,Melbourne - West,Brimbank (C),Calwell,-37.69638,144.783496,N,,
Anglicare Victoria,Craigieburn ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,59 Craigieburn Road Craigieburn VIC 3064,Craigieburn,3064,Financial Crisis and Material Aid - Emergency Relief,Craigieburn - Mickleham,Tullamarine - Broadmeadows,Melbourne - North West,Hume (C),Calwell,-37.5984141,144.9350188,N,,
Anglicare Victoria,Mission House - Fitzroy,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,122 Napier Street Fitzroy VIC 3065,Fitzroy,3065,Financial Crisis and Material Aid - Emergency Relief,Fitzroy,Yarra,Melbourne - Inner,Yarra (C),Melbourne,-37.8045298,144.9798685,N,,
Anglicare Victoria,St Marks Community Centre,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,250 George Street Fitzroy VIC 3065,Fitzroy,3065,Financial Crisis and Material Aid - Emergency Relief,Fitzroy,Yarra,Melbourne - Inner,Yarra (C),Melbourne,-37.8018335,144.9815525,N,,
Anglicare Victoria,Preston ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,42 Mary Street PRESTON VIC 3072,PRESTON,3072,Financial Crisis and Material Aid - Emergency Relief,Preston,Darebin - North,Melbourne - North East,Darebin (C),Batman,-37.741947,145.002139,N,,
Anglicare Victoria,Dixon House-Clayton,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,2 Dixon Street Clayton VIC 3168,Clayton,3168,Financial Crisis and Material Aid - Emergency Relief,Clayton,Monash,Melbourne - South East,Monash (C),Chisholm,-37.9190197,145.1220408,N,,
Anglicare Victoria,Anglicare Warnambool,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,230 Koroit Street Warrnambool VIC 3280,Warrnambool,3280,Financial Crisis and Material Aid - Emergency Relief,Warrnambool - South,Warrnambool - Otway Ranges,Warrnambool and South West,Warrnambool (C),Wannon,-38.3803852,142.4769387,N,,
Anglicare Victoria,Anglicare Ballarat,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,14 Victoria St BAKERY HILL VIC 3350,BAKERY HILL,3350,Financial Crisis and Material Aid - Emergency Relief,Ballarat,Ballarat,Ballarat,Ballarat (C),Ballarat,-37.5630082,143.8664926,N,,
Anglicare Victoria,Sebastopol ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,227 Albert Street Sebastopol VIC 3356,Sebastopol,3356,Financial Crisis and Material Aid - Emergency Relief,Ballarat - South,Ballarat,Ballarat,Ballarat (C),Ballarat,-37.601007,143.8413331,N,,
Anglicare Victoria,Anglicare Warragul,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,3 Barkly Street WARRAGUL VIC 3820,WARRAGUL,3820,Financial Crisis and Material Aid - Emergency Relief,Warragul,Baw Baw,Latrobe - Gippsland,Baw Baw (S),McMillan,-38.1607273,145.9328936,N,,
Anglicare Victoria,Korumburra ER,<a href='http://www.anglicarevic.org.au'>http://www.anglicarevic.org.au</a>,21 Shellcotts Road KORUMBURRA VIC 3950,KORUMBURRA,3950,Financial Crisis and Material Aid - Emergency Relief,Korumburra,Gippsland - South West,Latrobe - Gippsland,South Gippsland (S),McMillan,-38.4389428,145.822372,N,,
Ararat Emergency Relief Committee,Uniting Church Ararat,N/A,279 Barkly Street ARARAT VIC 3377,ARARAT,3377,Financial Crisis and Material Aid - Emergency Relief,Ararat,Grampians,North West,Ararat (RC),Wannon,-37.2841953,142.9378347,N,,
Ararat Emergency Relief Committee,Anglican Church Of Australia Ararat Parish,N/A,47 High Street ARARAT VIC 3377,ARARAT,3377,Financial Crisis and Material Aid - Emergency Relief,Ararat,Grampians,North West,Ararat (RC),Wannon,-37.2833323,142.9267058,N,,
Ararat Emergency Relief Committee,Salvation Army Ararat Corp,N/A,87 Vincent Street ARARAT VIC 3377,ARARAT,3377,Financial Crisis and Material Aid - Emergency Relief,Ararat,Grampians,North West,Ararat (RC),Wannon,-37.2794714,142.9307259,N,,
Ararat Emergency Relief Committee,Church of Christ Ararat,N/A,88 High Street ARARAT VIC 3377,ARARAT,3377,Financial Crisis and Material Aid - Emergency Relief,Ararat,Grampians,North West,Ararat (RC),Wannon,-37.2831841,142.9361619,N,,
Armidale Neighbourhood Centre Incorporated,Armidale Neighbourhood Centre Inc,<a href='http://www.armidalenc.org.au/'>http://www.armidalenc.org.au/</a>,129 Rusden Street Armidale NSW 2350,Armidale,2350,Financial Crisis and Material Aid - Emergency Relief,Armidale,Armidale,New England and North West,Armidale Dumaresq (A),New England,-30.5145716,151.6663312,N,,
ATSI Corporation for Welfare Resource And Housing,ATSI Corporation (NSW),N/A,D10 Airport Central 1 Eastern Ave COOLANGATTA QLD 4225,COOLANGATTA,4225,Financial Crisis and Material Aid - Emergency Relief,Currumbin - Tugun,Coolangatta,Gold Coast,Gold Coast (C),McPherson,-28.1634955,153.5126201,N,,
ATSI Corporation for Welfare Resource And Housing,ATSI Corporation for Welfare Resource And Housing,N/A,D10 Eastern Avenue Airport Central BILINGA QLD 4225,BILINGA,4225,Financial Crisis and Material Aid - Emergency Relief,Currumbin - Tugun,Coolangatta,Gold Coast,Gold Coast (C),McPherson,-28.1634955,153.5126201,N,,
Auburn Asian Welfare Centre Inc,Auburn Asian Welfare Centre Inc,<a href='http://www.aawcentre.org.au'>http://www.aawcentre.org.au</a>,8 Rawson Street LIDCOMBE NSW 2141,LIDCOMBE,2141,Financial Crisis and Material Aid - Emergency Relief,Lidcombe - Regents Park,Auburn,Sydney - Parramatta,Auburn (C),Reid,-33.8599842,151.0501044,N,,
Australian Anatolian Community Services Co-op Ltd,Australian Anatolian Community Services Co-op Ltd,<a href='http://www.atkcs.org.au'>http://www.atkcs.org.au</a>,50-52 Susan St AUBURN NSW 2144,AUBURN,2144,Financial Crisis and Material Aid - Emergency Relief,Auburn,Auburn,Sydney - Parramatta,Auburn (C),Reid,-33.8564507,151.0334084,N,,
Australian Greek Welfare Society Limited,Australian Greek Welfare Society Ltd,<a href='http://www.agws.com.au'>http://www.agws.com.au</a>,7 Union Street Brunswick VIC 3056,Brunswick,3056,Financial Crisis and Material Aid - Emergency Relief,Brunswick,Brunswick - Coburg,Melbourne - Inner,Moreland (C),Wills,-37.774272,144.959745,N,,
Australian Red Cross Society,Withheld,<a href='http://www.redcross.org.au'>http://www.redcross.org.au</a>,Withheld,Withheld,Withheld,Financial Crisis and Material Aid - Emergency Relief,,Stirling,,,,-31.887597,115.821542,Y,,
Australian Red Cross Society,NSW - Kent Street,<a href='http://www.redcross.org.au'>http://www.redcross.org.au</a>,St Andrews House L 1 464 Kent St SYDNEY NSW 2000,SYDNEY,2000,Financial Crisis and Material Aid - Emergency Relief,Sydney - Haymarket - The Rocks,Sydney Inner City,Sydney - City and Inner South,Sydney (C),Sydney,-33.8738312,151.2056379,N,,
Australian Red Cross Society,NSW - JRS Parramatta,<a href='http://www.redcross.org.au'>http://www.redcross.org.au</a>,4 Victoria Rd Parramatta NSW 2150,Parramatta,2150,Financial Crisis and Material Aid - Emergency Relief,North Parramatta,Parramatta,Sydney - Parramatta,Parramatta (C),Parramatta,-33.8078596,151.0029099,N,,
