OFFICE TYPE,SITE NAME,ALTERNATIVE NAME,ADDRESS,SUBURB,STATE,POSTCODE,LATITUDE,LONGITUDE,OPEN,CLOSE,CLOSED FOR LUNCH,,
Service Centre - Centrelink/Medicare,Caringbah,,15-21 President Avenue,Caringbah,NSW,2229,-34.04258,151.12139,,,,,
Service Centre - Centrelink,Carnarvon,,76 Robinson Street,Carnarvon,WA,6701,-24.880864,113.659724,,,,,
Service Centre - Centrelink/Medicare,Casino,,46 Hickey Street,Casino,NSW,2470,-28.86344,153.05052,,,,,
Service Centre - Centrelink/Medicare,Casuarina,,50 Bradshaw Terrace,Casuarina,NT,810,-12.37187,130.88129,,,,,
Service Centre - Centrelink,Ceduna,,22B East Terrace (co-located in PM&C premises),Ceduna,SA,5690,-32.123742,133.675663,,,,,
Service Centre - Centrelink/Medicare,Cessnock,,186-194 Vincent Street,Cessnock,NSW,2325,-32.838671,151.355531,,,,,
Service Centre - Centrelink/Medicare,Charlestown,,331 Charlestown Road (Level 1),Charlestown,NSW,2290,-32.96075,151.69566,,,,,
Service Centre - Centrelink,Charleville,,78-80 Edward Street,Charleville,QLD,4470,-26.40429,146.2395,,,,,
Service Centre - Centrelink,Charters Towers,,31 Hodgkinson Street,Charters Towers,QLD,4820,-20.077544,146.260411,,,,,
Service Centre - Centrelink/Medicare,Chatswood,,56-64 Archer Street,Chatswood,NSW,2067,-33.79696,151.18575,,,,,
Service Centre - Centrelink/Medicare,Cheltenham,,1242a Nepean Highway,Cheltenham,VIC,3192,-37.96752,145.05865,,,,,
Service Centre - Centrelink,Cherbourg,,13 Fisher Street,Cherbourg,QLD,4605,-26.292,151.9558,,,,,
Service Centre - Centrelink/Medicare,Chermside,,18 Banfield Street,Chermside,QLD,4032,-27.38179,153.03104,,,,,
Service Centre - Centrelink/Medicare,Cleveland,,159 Bloomfield Street,Cleveland,QLD,4163,-27.52917,153.26674,,,,,
Service Centre - Centrelink/Medicare,Coffs Harbour,,21-25 Duke Street,Coffs Harbour,NSW,2450,-30.2967,153.1187,,,,,
